koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,30.1329298,190.38336,0.839,5.172,1.02E+03,536,5527,4.488,0.866
CONFIRMED,4.79090809,136.31106,0.11,2.603,2.51E+02,990,5527,4.488,0.866
CONFIRMED,31.71981013,142.82083,0.125,4.819,3.63E+02,743,5869,4.024,1.626
CONFIRMED,99.6415962,198.68664,0.028,4.448,9.53E+02,360,5527,4.488,0.866
CONFIRMED,4.708326451,171.446507,0.061,3.16114,7.91E+03,1162,5560,4.246,1.21
FALSE POSITIVE,16.37198661,172.75926,9.303,3.8449,4.15E+03,438,4187,4.656,0.592
CONFIRMED,5.392026903,171.72707,0.314,2.9804,1.15E+03,850,5198,4.589,0.801
CANDIDATE,2.494170338,170.852848,0.095,1.1221,8.64E+02,1194,5569,4.566,0.829
CONFIRMED,6.491682808,174.633553,0.535,4.301,7.16E+03,1062,6123,4.413,1.107
FALSE POSITIVE,3.044770796,172.01916,1.252,10.0134,1.70E+03,1076,5525,4.603,0.753
CONFIRMED,3.855603916,170.6787843,0.348,3.2179,1.67E+04,1212,6033,4.46,1.046
FALSE POSITIVE,3.855599139,170.67957,0.864,3.183,1.03E+03,1158,5936,4.501,0.965
CONFIRMED,38.47876629,151.852812,0.003,5.04169,2.35E+04,484,5510,4.539,0.879
FALSE POSITIVE,37.60166128,194.713383,0.408,8.30604,5.91E+04,606,6140,4.354,1.096
CONFIRMED,3.314947362,171.313058,0.799,1.8007,1.40E+03,1155,5609,4.481,0.944
FALSE POSITIVE,6.71969089,173.35776,0.985,3.0231,9.70E+02,952,5931,4.479,0.866
CONFIRMED,39.6431552,206.596798,0.062,6.5292,1.57E+04,472,5231,4.455,0.9
FALSE POSITIVE,51.42598578,173.535933,0.203,16.9422,6.61E+04,549,6257,4.41,1.147
